Date,DailyRevenue,RollingAvg7
2010-12-01,58960.79,
2010-12-02,47748.38,
2010-12-03,46943.71,
2010-12-05,31774.95,
2010-12-06,54830.46,
2010-12-07,99618.2,
2010-12-08,45389.98,55038.06714285714
2010-12-09,53586.18,54270.26571428571
2010-12-10,59182.92,55903.77142857143
2010-12-12,17329.07,51673.10857142857
2010-12-13,38006.71,52563.35999999999
2010-12-14,45254.73,51195.39857142857
2010-12-15,30444.62,41313.45857142857
2010-12-16,49352.9,41879.590000000004
2010-12-17,45418.33,40712.75428571429
2010-12-19,7534.91,33334.467142857146
2010-12-20,26789.13,34685.904285714285
2010-12-21,47304.090000000004,36014.10142857143
2010-12-22,6199.97,30434.850000000002
2010-12-23,12076.11,27810.777142857143
2011-01-04,16026.08,23049.802857142855
2011-01-05,32634.47,21223.537142857145
2011-01-06,40382.85,25916.100000000002
2011-01-07,28836.59,26208.594285714287
2011-01-09,15778.2,21704.895714285718
2011-01-10,24569.07,24329.052857142855
2011-01-11,68655.59,32411.835714285717
2011-01-12,24693.78,33650.07857142857
2011-01-13,20624.64,31934.388571428568
2011-01-14,47576.9,32962.11
2011-01-16,7242.06,29877.17714285714
2011-01-17,29333.02,31813.579999999994
2011-01-18,95978.05,42014.86285714286
2011-01-19,25934.57,35911.86
2011-01-20,21246.99,35419.46142857143
2011-01-21,32640.3,37135.98428571429
2011-01-23,10400.25,31825.034285714286
2011-01-24,25733.79,34466.71
2011-01-25,29077.47,34430.20285714286
2011-01-26,19922.29,23565.094285714287
2011-01-27,23730.84,23250.27571428571
2011-01-28,20090.65,23085.084285714285
2011-01-30,6615.75,19367.29142857143
2011-01-31,23640.36,21258.735714285714
2011-02-01,29034.99,21730.335714285717
2011-02-02,21216.2,20607.29714285714
2011-02-03,23479.83,21115.51714285714
2011-02-04,25162.19,21319.995714285713
2011-02-06,3457.11,18943.77571428571
2011-02-07,25955.01,21706.527142857143
2011-02-08,20949.92,21322.178571428572
2011-02-09,16692.58,19558.977142857144
2011-02-10,14896.460000000001,18656.15714285714
2011-02-11,22873.1,18569.481428571427
2011-02-13,5713.63,15791.115714285714
2011-02-14,26703.51,19112.030000000002
2011-02-15,39875.74,21100.705714285716
2011-02-16,24949.1,21672.01714285714
2011-02-17,26372.670000000002,23054.887142857147
2011-02-18,16208.75,23242.35714285714
2011-02-20,9624.69,21349.727142857148
2011-02-21,36388.75,25731.887142857147
2011-02-22,32498.35,26559.721428571425
2011-02-23,26891.6,24704.844285714287
2011-02-24,22809.84,24399.235714285714
2011-02-25,20595.74,23573.959999999995
2011-02-27,9526.5,22619.352857142854
2011-02-28,21755.63,24352.344285714284
2011-03-01,26354.96,22918.945714285714
2011-03-02,18690.79,20946.437142857143
2011-03-03,36404.0,22305.35142857143
2011-03-04,19506.8,21833.488571428574
2011-03-06,10005.37,20320.57857142857
2011-03-07,32356.55,23582.014285714282
2011-03-08,25081.62,24057.155714285716
2011-03-09,22038.84,23440.567142857144
2011-03-10,26120.22,24501.91428571429
2011-03-11,25475.18,22940.65428571429
2011-03-13,4148.12,20746.557142857142
2011-03-14,26019.55,23034.297142857144
2011-03-15,23493.49,21768.145714285714
2011-03-16,21948.36,21320.537142857145
2011-03-17,39904.94,23872.837142857144
2011-03-18,28171.79,24165.918571428574
2011-03-20,22153.49,23691.391428571427
2011-03-21,16715.52,25486.734285714287
2011-03-22,31515.579999999998,26271.88142857143
2011-03-23,24091.67,26357.335714285717
2011-03-24,36697.14,28464.304285714286
2011-03-25,31394.21,27248.485714285714
2011-03-27,9241.35,24544.13714285714
2011-03-28,23176.72,24690.312857142857
2011-03-29,70711.92,32404.08428571428
2011-03-30,31885.28,32456.89857142857
2011-03-31,34335.9,33920.36
2011-04-01,25667.510000000002,32344.698571428573
2011-04-03,6943.15,28851.690000000002
2011-04-04,33254.24,32282.102857142858
2011-04-05,30144.77,33277.53857142857
2011-04-06,17362.36,25656.172857142858
2011-04-07,18512.89,23745.831428571426
2011-04-08,25295.64,22454.365714285716
2011-04-10,9913.98,20203.861428571425
2011-04-11,22353.27,22405.307142857142
2011-04-12,25570.3,21307.601428571426
2011-04-13,24484.420000000002,20498.98
2011-04-14,36104.07,23176.367142857143
2011-04-15,28334.121,24579.400142857143
2011-04-17,12725.5,22783.665857142856
2011-04-18,56026.18,29371.122999999996
2011-04-19,24338.7,29654.755857142856
2011-04-20,28670.47,30097.63728571429
2011-04-21,32615.63,31259.238714285715
2011-04-26,31047.43,30536.861571428573
2011-04-27,25942.44,30195.192857142858
2011-04-28,22501.55,31591.77142857143
2011-05-01,6973.66,24584.268571428573
2011-05-03,35229.41,26140.084285714285
2011-05-04,27544.15,25979.181428571428
2011-05-05,29174.29,25487.56142857143
2011-05-06,36126.35,26213.12142857143
2011-05-08,18867.4,25202.40142857143
2011-05-09,27899.71,25973.567142857144
2011-05-10,47819.98,31808.755714285715
2011-05-11,33687.25,31588.447142857145
2011-05-12,61903.09,36496.86714285715
2011-05-13,30749.95,36721.96142857143
2011-05-15,9924.28,32978.80857142857
2011-05-16,39651.28,35947.934285714284
2011-05-17,55151.99,39841.11714285715
2011-05-18,34483.44,37935.897142857146
2011-05-19,35599.35,38209.05428571429
2011-05-20,26718.17,33182.637142857144
2011-05-22,24231.09,32251.371428571427
2011-05-23,34685.6,35788.70285714285
2011-05-24,37660.04,35504.24
2011-05-25,24408.12,31112.25857142857
2011-05-26,33497.03,30971.342857142856
2011-05-27,28442.03,29948.86857142857
2011-05-29,7394.3,27188.315714285713
2011-05-31,22714.06,26971.597142857143
2011-06-01,20595.69,24958.752857142856
2011-06-02,32826.14,24268.195714285714
2011-06-03,16913.25,23197.5
2011-06-05,25639.54,22075.00142857143
2011-06-06,17789.07,20553.149999999998
2011-06-07,37957.72,24919.35285714286
2011-06-08,43264.33,27855.105714285717
2011-06-09,46389.1,31539.878571428573
2011-06-10,62234.439999999995,35741.06428571429
2011-06-12,12517.06,35113.037142857145
2011-06-13,22457.21,34658.41857142857
2011-06-14,40474.01,37899.124285714286
2011-06-15,49097.99,39490.59142857143
2011-06-16,34584.68,38250.64142857143
2011-06-17,21076.17,34634.508571428574
2011-06-19,22442.18,28949.899999999998
2011-06-20,37514.98,32521.031428571423
2011-06-21,24784.37,32853.48285714286
2011-06-22,21825.99,30189.48
2011-06-23,25242.82,26781.59857142857
2011-06-24,19521.96,24629.78142857143
2011-06-26,7082.49,22630.684285714284
2011-06-27,17015.76,21855.481428571427
2011-06-28,35607.32,21582.95857142857
2011-06-29,22088.32,21197.808571428573
2011-06-30,44797.31,24479.425714285713
2011-07-01,13675.06,22826.88857142857
2011-07-03,6032.39,20899.807142857142
2011-07-04,44652.83,26266.99857142857
2011-07-05,40758.43,29658.808571428573
2011-07-06,26387.54,28341.697142857145
2011-07-07,32445.71,29821.324285714283
2011-07-08,27082.1,27290.579999999998
2011-07-10,5993.87,26193.26714285714
2011-07-11,22605.02,28560.785714285714
2011-07-12,26262.55,25933.602857142854
2011-07-13,22641.94,23345.532857142854
2011-07-14,33602.13,24376.18857142857
2011-07-15,14836.43,21860.57714285714
2011-07-17,17194.56,20448.071428571428
2011-07-18,38831.61,25139.17714285714
2011-07-19,50182.83,29078.864285714284
2011-07-20,33308.24,30085.391428571427
2011-07-21,32818.54,31539.191428571427
2011-07-22,20124.86,29613.867142857143
2011-07-24,27099.46,31365.72857142857
2011-07-25,26887.15,32750.384285714284
2011-07-26,21644.261,30295.048714285716
2011-07-27,25602.93,26783.634428571426
2011-07-28,56269.74,30063.848714285712
2011-07-29,18790.4,28059.828714285715
2011-07-31,33490.61,29969.221571428567
2011-08-01,21388.92,29153.43014285714
2011-08-02,26580.6,29109.63728571429
2011-08-03,28113.14,30033.762857142858
2011-08-04,65502.21,35733.659999999996
2011-08-05,21538.58,30772.065714285716
2011-08-07,7578.91,29170.424285714285
2011-08-08,23377.65,27725.715714285714
2011-08-09,27679.44,28624.36142857143
2011-08-10,28792.34,28940.324285714283
2011-08-11,72433.79,35271.845714285715
2011-08-12,32231.35,30518.865714285716
2011-08-14,5718.57,28258.864285714284
2011-08-15,17243.97,29639.58714285714
2011-08-16,19239.66,29048.445714285714
2011-08-17,53499.96,32737.091428571428
2011-08-18,54106.93,36353.46142857143
2011-08-19,17349.59,28484.29
2011-08-21,14576.86,25962.22
2011-08-22,29651.46,29381.204285714284
2011-08-23,25993.68,30631.162857142856
2011-08-24,49035.36,34887.69142857143
2011-08-25,23827.46,30648.762857142858
2011-08-26,25626.44,26580.12142857143
2011-08-28,10805.03,25645.184285714287
2011-08-30,31866.31,28115.105714285713
2011-08-31,25380.17,27504.92142857143
2011-09-01,37370.15,29130.13142857143
2011-09-02,42322.02,28171.082857142854
2011-09-04,17119.59,27212.815714285713
2011-09-05,37157.14,28860.058571428573
2011-09-06,28349.91,31366.47
2011-09-07,34413.53,31730.358571428573
2011-09-08,27195.8,31989.734285714283
2011-09-09,30075.62,30947.65857142857
2011-09-11,35511.67,29974.75142857143
2011-09-12,29738.33,31777.428571428572
2011-09-13,55117.05,34343.13
2011-09-14,23592.98,33663.56857142857
2011-09-15,78218.95,39921.485714285714
2011-09-16,27724.22,39996.974285714285
2011-09-18,15745.73,37949.84714285714
2011-09-19,49269.88,39915.305714285714
2011-09-20,109612.03,51325.83428571428
2011-09-21,48560.68,50389.21
2011-09-22,59354.79,55498.04
2011-09-23,40601.75,50124.154285714285
2011-09-25,31372.661,50645.360142857135
2011-09-26,29335.171,52586.708857142854
2011-09-27,36322.95,50737.14742857143
2011-09-28,43749.06,41328.15171428572
2011-09-29,46401.45,41019.690285714285
2011-09-30,44357.06,38877.15742857143
2011-10-02,11634.53,34738.98314285714
2011-10-03,66376.82,39739.57728571428
2011-10-04,48810.65,42521.788571428566
2011-10-05,75593.63,48131.885714285716
2011-10-06,62891.19,50866.47571428572
2011-10-07,53790.7,51922.08285714286
2011-10-09,12524.4,47374.56
2011-10-10,48239.18,52603.79571428573
2011-10-11,52572.94,50631.81285714287
2011-10-12,32159.28,48253.04571428571
2011-10-13,37446.18,42803.409999999996
2011-10-14,36347.64,39011.474285714285
2011-10-16,22010.96,34471.51142857143
2011-10-17,52062.2,40119.76857142857
2011-10-18,45332.16,39704.479999999996
2011-10-19,42573.36,38275.96857142857
2011-10-20,61122.9,42413.62857142858
2011-10-21,63226.64,46096.55142857142
2011-10-23,12339.16,42666.76857142857
2011-10-24,48752.91,46487.04714285715
2011-10-25,41314.64,44951.68142857143
2011-10-26,38059.43,43912.719999999994
2011-10-27,57291.72,46015.34285714286
2011-10-28,40565.7,43078.6
2011-10-30,34571.23,38984.969999999994
2011-10-31,57369.15,45417.82571428571
2011-11-01,29155.15,42618.14571428572
2011-11-02,45888.34,43271.53142857143
2011-11-03,63561.49,46914.68285714286
2011-11-04,62977.36,47726.91714285714
2011-11-06,42946.340000000004,48067.00857142858
2011-11-07,85881.81,55397.09142857143
2011-11-08,57700.24,55444.39000000001
2011-11-09,66127.57,60726.16428571429
2011-11-10,71008.26,64314.724285714285
2011-11-11,55257.17,63128.392857142855
2011-11-13,34069.92,58998.758571428574
2011-11-14,114419.89,69209.2657142857
2011-11-15,60807.29,65627.19142857143
2011-11-16,65958.17,66806.89571428571
2011-11-17,61103.13,66089.11857142857
2011-11-18,51275.39,63270.137142857144
2011-11-20,35058.57,60384.62285714286
2011-11-21,49805.72,62632.59428571428
2011-11-22,64089.82,55442.58428571429
2011-11-23,80104.18,58199.282857142854
2011-11-24,50978.63,56059.34857142857
2011-11-25,50822.73,54590.719999999994
2011-11-27,20611.08,50210.10428571428
2011-11-28,57165.19,53368.192857142865
2011-11-29,72595.93,56623.93714285714
2011-11-30,60126.96,56057.81428571429
2011-12-01,52197.25,52071.11
2011-12-02,57664.07,53026.172857142854
2011-12-04,24621.43,49283.130000000005
2011-12-05,88741.96,59016.11285714286
2011-12-06,56713.21,58951.544285714284
2011-12-07,75439.16,59357.72000000001
2011-12-08,82495.0,62553.15428571428
2011-12-09,200920.6,83799.34714285714
